ALGORITHM,NUMBER OF ELEMENTS,NUMBER OF COMPARISONS,NUMBER OF SWAPS,
QUICK,46,241,241,
QUICK,36,149,149,
QUICK,28,104,104,
QUICK,72,579,579,
QUICK,10,21,21,
QUICK,19,58,58,
QUICK,69,429,429,
QUICK,61,327,327,
QUICK,31,127,127,
QUICK,95,572,572,
QUICK,89,554,554,
QUICK,18,58,58,
QUICK,80,432,432,
QUICK,12,32,32,
QUICK,71,403,403,
QUICK,37,168,168,
QUICK,50,279,279,
QUICK,10,21,21,
QUICK,79,512,512,
BUBBLE,82,3321,1754,5075
BUBBLE,36,630,294,924
BUBBLE,38,703,315,1018
BUBBLE,73,2628,1442,4070
BUBBLE,90,4005,1638,5643
BUBBLE,92,4186,2108,6294
BUBBLE,63,1953,940,2893
BUBBLE,79,3081,1766,4847
BUBBLE,18,153,49,202
BUBBLE,100,4950,2688,7638
BUBBLE,7,21,8,29
BUBBLE,99,4851,2427,7278
BUBBLE,49,1176,566,1742
BUBBLE,47,1081,529,1610
BUBBLE,90,4005,1806,5811
BUBBLE,63,1953,1057,3010
BUBBLE,28,378,159,537
BUBBLE,32,496,244,740
BUBBLE,81,3240,1687,4927
BUBBLE,14,91,52,143
BUBBLE,8,28,12,40
BUBBLE,9,36,13,49
BUBBLE,87,3741,2012,5753
BUBBLE,40,780,361,1141
BUBBLE,37,666,342,1008
BUBBLE,50,1225,654,1879
BUBBLE,29,406,238,644
BUBBLE,93,4278,2295,6573
BUBBLE,39,741,342,1083
BUBBLE,20,190,102,292
BUBBLE,32,496,276,772
BUBBLE,85,3570,1773,5343
BUBBLE,89,3916,1712,5628
BUBBLE,7,21,5,26
BUBBLE,80,3160,1675,4835
BUBBLE,9,36,17,53
BUBBLE,8,28,14,42
BUBBLE,31,465,268,733
BUBBLE,69,2346,1157,3503
BUBBLE,93,4278,2022,6300
BUBBLE,83,3403,1865,5268
BUBBLE,90,4005,1883,5888
BUBBLE,73,2628,1284,3912
BUBBLE,72,2556,1198,3754
BUBBLE,53,1378,704,2082
BUBBLE,76,2850,1551,4401
BUBBLE,72,2556,1471,4027
BUBBLE,70,2415,1327,3742
BUBBLE,8,28,15,43
BUBBLE,48,1128,601,1729
BUBBLE,33,528,266,794
BUBBLE,66,2145,977,3122
BUBBLE,37,666,350,1016
BUBBLE,70,2415,1296,3711
BUBBLE,41,820,420,1240
BUBBLE,64,2016,1070,3086
BUBBLE,31,465,229,694
BUBBLE,53,1378,704,2082
BUBBLE,12,66,37,103
BUBBLE,92,4186,2099,6285
BUBBLE,82,3321,1689,5010
BUBBLE,14,91,33,124
BUBBLE,31,465,197,662
BUBBLE,66,2145,1153,3298
BUBBLE,40,780,443,1223
BUBBLE,7,21,14,35
BUBBLE,71,2485,1181,3666
BUBBLE,24,276,163,439
BUBBLE,28,378,181,559
BUBBLE,92,4186,1903,6089
BUBBLE,35,595,301,896
BUBBLE,30,435,204,639
BUBBLE,24,276,117,393
BUBBLE,62,1891,802,2693
BUBBLE,65,2080,972,3052
BUBBLE,93,4278,2034,6312
BUBBLE,24,276,139,415
BUBBLE,25,300,166,466
BUBBLE,26,325,166,491
BUBBLE,96,4560,2398,6958
BUBBLE,97,4656,2752,7408
BUBBLE,91,4095,2035,6130
BUBBLE,38,703,338,1041
BUBBLE,64,2016,1126,3142
BUBBLE,82,3321,1569,4890
BUBBLE,25,300,139,439
BUBBLE,49,1176,601,1777
BUBBLE,21,210,97,307
BUBBLE,16,120,49,169
BUBBLE,33,528,304,832
BUBBLE,31,465,244,709
BUBBLE,45,990,495,1485
BUBBLE,72,2556,1361,3917
BUBBLE,8,28,14,42
BUBBLE,59,1711,971,2682
BUBBLE,84,3486,1689,5175
BUBBLE,72,2556,1219,3775
BUBBLE,29,406,257,663
BUBBLE,99,4851,2373,7224
BUBBLE,36,630,352,982
QUICK,82,573,573,
QUICK,36,144,144,
QUICK,38,213,213,
QUICK,73,443,443,
QUICK,90,580,580,
QUICK,92,575,575,
QUICK,63,363,363,
QUICK,79,463,463,
QUICK,18,71,71,
QUICK,100,717,717,
QUICK,7,11,11,
QUICK,99,624,624,
QUICK,49,290,290,
QUICK,47,235,235,
QUICK,90,511,511,
QUICK,63,335,335,
QUICK,28,101,101,
QUICK,32,149,149,
QUICK,81,479,479,
QUICK,14,47,47,
QUICK,8,19,19,
QUICK,9,18,18,
QUICK,87,643,643,
QUICK,40,161,161,
QUICK,37,168,168,
QUICK,50,269,269,
QUICK,29,107,107,
QUICK,93,661,661,
QUICK,39,213,213,
QUICK,20,65,65,
QUICK,32,156,156,
QUICK,85,530,530,
QUICK,89,497,497,
QUICK,7,13,13,
QUICK,80,475,475,
QUICK,9,17,17,
QUICK,8,20,20,
QUICK,31,121,121,
QUICK,69,411,411,
QUICK,93,663,663,
QUICK,83,714,714,
QUICK,90,666,666,
QUICK,73,487,487,
QUICK,72,399,399,
QUICK,53,271,271,
QUICK,76,481,481,
QUICK,72,423,423,
QUICK,70,363,363,
QUICK,8,14,14,
QUICK,48,290,290,
QUICK,33,168,168,
QUICK,66,342,342,
QUICK,37,179,179,
QUICK,70,404,404,
QUICK,41,207,207,
QUICK,64,306,306,
QUICK,31,140,140,
QUICK,53,238,238,
QUICK,12,27,27,
QUICK,92,573,573,
QUICK,82,536,536,
QUICK,14,35,35,
QUICK,31,144,144,
QUICK,66,326,326,
QUICK,40,204,204,
QUICK,7,14,14,
QUICK,71,407,407,
QUICK,24,122,122,
QUICK,28,103,103,
QUICK,92,495,495,
QUICK,35,148,148,
QUICK,30,110,110,
QUICK,24,107,107,
QUICK,62,364,364,
QUICK,65,341,341,
QUICK,93,539,539,
QUICK,24,95,95,
QUICK,25,95,95,
QUICK,26,117,117,
QUICK,96,578,578,
QUICK,97,553,553,
QUICK,91,628,628,
QUICK,38,150,150,
QUICK,64,332,332,
QUICK,82,510,510,
QUICK,25,101,101,
QUICK,49,248,248,
QUICK,21,75,75,
QUICK,16,43,43,
QUICK,33,154,154,
QUICK,31,138,138,
QUICK,45,263,263,
QUICK,72,437,437,
QUICK,8,18,18,
QUICK,59,326,326,
QUICK,84,580,580,
QUICK,72,377,377,
QUICK,29,118,118,
QUICK,99,588,588,
QUICK,36,177,177,
BUBBLE,67,2211,1164,3375
BUBBLE,44,946,512,1458
BUBBLE,96,4560,2185,6745
BUBBLE,30,435,223,658
BUBBLE,12,66,37,103
BUBBLE,33,528,275,803
BUBBLE,76,2850,1505,4355
BUBBLE,12,66,46,112
BUBBLE,16,120,65,185
BUBBLE,93,4278,2027,6305
BUBBLE,95,4465,2578,7043
BUBBLE,22,231,122,353
BUBBLE,96,4560,2400,6960
BUBBLE,59,1711,867,2578
BUBBLE,67,2211,1139,3350
BUBBLE,50,1225,589,1814
BUBBLE,28,378,153,531
BUBBLE,28,378,230,608
BUBBLE,9,36,15,51
BUBBLE,32,496,246,742
BUBBLE,68,2278,1210,3488
BUBBLE,76,2850,1608,4458
BUBBLE,39,741,409,1150
BUBBLE,86,3655,1686,5341
BUBBLE,18,153,93,246
BUBBLE,29,406,201,607
BUBBLE,90,4005,2187,6192
BUBBLE,69,2346,1264,3610
BUBBLE,51,1275,660,1935
BUBBLE,22,231,137,368
BUBBLE,40,780,396,1176
BUBBLE,65,2080,1161,3241
BUBBLE,62,1891,940,2831
BUBBLE,56,1540,772,2312
BUBBLE,88,3828,2192,6020
BUBBLE,19,171,81,252
BUBBLE,8,28,17,45
BUBBLE,22,231,104,335
BUBBLE,41,820,442,1262
BUBBLE,74,2701,1447,4148
BUBBLE,71,2485,1251,3736
BUBBLE,57,1596,802,2398
BUBBLE,87,3741,1885,5626
BUBBLE,95,4465,2388,6853
BUBBLE,64,2016,1084,3100
BUBBLE,79,3081,1499,4580
BUBBLE,43,903,384,1287
BUBBLE,75,2775,1249,4024
BUBBLE,59,1711,919,2630
BUBBLE,17,136,91,227
BUBBLE,61,1830,1011,2841
BUBBLE,59,1711,966,2677
BUBBLE,71,2485,1543,4028
BUBBLE,39,741,404,1145
BUBBLE,55,1485,718,2203
BUBBLE,93,4278,2166,6444
BUBBLE,6,15,9,24
BUBBLE,62,1891,881,2772
BUBBLE,55,1485,832,2317
BUBBLE,27,351,197,548
BUBBLE,76,2850,1444,4294
BUBBLE,37,666,275,941
BUBBLE,72,2556,1419,3975
BUBBLE,27,351,182,533
BUBBLE,52,1326,569,1895
BUBBLE,33,528,347,875
BUBBLE,85,3570,2035,5605
BUBBLE,6,15,8,23
BUBBLE,57,1596,777,2373
BUBBLE,30,435,184,619
BUBBLE,64,2016,1070,3086
BUBBLE,44,946,433,1379
BUBBLE,11,55,38,93
BUBBLE,60,1770,858,2628
BUBBLE,29,406,222,628
BUBBLE,33,528,273,801
BUBBLE,22,231,125,356
BUBBLE,23,253,168,421
BUBBLE,78,3003,1460,4463
BUBBLE,44,946,479,1425
BUBBLE,71,2485,1372,3857
BUBBLE,16,120,81,201
BUBBLE,43,903,429,1332
BUBBLE,54,1431,666,2097
BUBBLE,77,2926,1527,4453
BUBBLE,74,2701,1283,3984
BUBBLE,42,861,538,1399
BUBBLE,80,3160,1524,4684
BUBBLE,74,2701,1547,4248
BUBBLE,49,1176,632,1808
BUBBLE,24,276,126,402
BUBBLE,91,4095,1956,6051
BUBBLE,36,630,316,946
BUBBLE,26,325,152,477
BUBBLE,54,1431,865,2296
BUBBLE,91,4095,1904,5999
BUBBLE,96,4560,2308,6868
BUBBLE,87,3741,2125,5866
BUBBLE,91,4095,2365,6460
BUBBLE,13,78,31,109
QUICK,67,377,377,
QUICK,44,209,209,
QUICK,96,684,684,
QUICK,30,146,146,
QUICK,12,37,37,
QUICK,33,139,139,
QUICK,76,444,444,
QUICK,12,32,32,
QUICK,16,40,40,
QUICK,93,563,563,
QUICK,95,572,572,
QUICK,22,72,72,
QUICK,96,618,618,
QUICK,59,288,288,
QUICK,67,372,372,
QUICK,50,251,251,
QUICK,28,144,144,
QUICK,28,161,161,
QUICK,9,18,18,
QUICK,32,130,130,
QUICK,68,396,396,
QUICK,76,472,472,
QUICK,39,201,201,
QUICK,86,552,552,
QUICK,18,68,68,
QUICK,29,115,115,
QUICK,90,530,530,
QUICK,69,540,540,
QUICK,51,311,311,
QUICK,22,75,75,
QUICK,40,199,199,
QUICK,65,330,330,
QUICK,62,348,348,
QUICK,56,302,302,
QUICK,88,684,684,
QUICK,19,77,77,
QUICK,8,18,18,
QUICK,22,87,87,
QUICK,41,175,175,
QUICK,74,443,443,
QUICK,71,440,440,
QUICK,57,334,334,
QUICK,87,629,629,
QUICK,95,579,579,
QUICK,64,333,333,
QUICK,79,457,457,
QUICK,43,184,184,
QUICK,75,452,452,
QUICK,59,352,352,
QUICK,17,66,66,
QUICK,61,379,379,
QUICK,59,330,330,
QUICK,71,398,398,
QUICK,39,190,190,
QUICK,55,297,297,
QUICK,93,559,559,
QUICK,6,11,11,
QUICK,62,330,330,
QUICK,55,276,276,
QUICK,27,109,109,
QUICK,76,449,449,
QUICK,37,171,171,
QUICK,72,433,433,
QUICK,27,116,116,
QUICK,52,255,255,
QUICK,33,141,141,
QUICK,85,542,542,
QUICK,6,8,8,
QUICK,57,288,288,
QUICK,30,133,133,
QUICK,64,337,337,
QUICK,44,224,224,
QUICK,11,25,25,
QUICK,60,324,324,
QUICK,29,134,134,
QUICK,33,158,158,
QUICK,22,92,92,
QUICK,23,86,86,
QUICK,78,513,513,
QUICK,44,235,235,
QUICK,71,486,486,
QUICK,16,50,50,
QUICK,43,191,191,
QUICK,54,324,324,
QUICK,77,453,453,
QUICK,74,487,487,
QUICK,42,210,210,
QUICK,80,478,478,
QUICK,74,505,505,
QUICK,49,302,302,
QUICK,24,91,91,
QUICK,91,545,545,
QUICK,36,171,171,
QUICK,26,131,131,
QUICK,54,303,303,
QUICK,91,606,606,
QUICK,96,558,558,
QUICK,87,550,550,
QUICK,91,557,557,
QUICK,13,34,34,
BUBBLE,82,5321,2910,8231
BUBBLE,57,1596,691,2287
BUBBLE,52,1326,668,1994
BUBBLE,66,2145,1022,3167
BUBBLE,36,1288,784,2072
BUBBLE,39,741,297,1038
BUBBLE,62,1891,890,2781
BUBBLE,11,55,37,92
BUBBLE,91,4095,2327,6422
BUBBLE,9,36,30,66
BUBBLE,20,190,128,318
BUBBLE,9,36,11,47
BUBBLE,9,36,15,51
BUBBLE,6,15,5,20
BUBBLE,11,55,29,84
BUBBLE,14,91,43,134
BUBBLE,9,36,26,62
BUBBLE,13,78,22,100
BUBBLE,9,36,21,57
BUBBLE,10,45,13,58
BUBBLE,30,435,240,675
BUBBLE,23,253,109,362
BUBBLE,25,300,153,453
BUBBLE,30,435,261,696
BUBBLE,36,630,278,908
BUBBLE,38,703,437,1140
BUBBLE,39,741,350,1091
BUBBLE,36,630,335,965
BUBBLE,35,595,324,919
BUBBLE,39,741,404,1145
BUBBLE,21,210,89,299
BUBBLE,27,351,208,559
BUBBLE,39,741,415,1156
BUBBLE,20,190,97,287
BUBBLE,35,595,334,929
BUBBLE,26,325,149,474
BUBBLE,33,528,293,821
BUBBLE,20,190,73,263
BUBBLE,20,190,80,270
BUBBLE,39,741,383,1124
BUBBLE,60,1770,874,2644
BUBBLE,60,1770,947,2717
BUBBLE,55,1485,541,2026
BUBBLE,40,780,534,1314
BUBBLE,44,946,438,1384
BUBBLE,52,1326,700,2026
BUBBLE,46,1035,481,1516
BUBBLE,52,1326,636,1962
BUBBLE,46,1035,545,1580
BUBBLE,44,946,463,1409
BUBBLE,54,1431,660,2091
BUBBLE,40,780,384,1164
BUBBLE,55,1485,714,2199
BUBBLE,54,1431,695,2126
BUBBLE,58,1653,810,2463
BUBBLE,52,1326,656,1982
BUBBLE,58,1653,894,2547
BUBBLE,52,1326,710,2036
BUBBLE,48,1128,602,1730
BUBBLE,40,780,377,1157
BUBBLE,80,3160,1386,4546
BUBBLE,67,2211,1033,3244
BUBBLE,76,2850,1243,4093
BUBBLE,71,2485,1168,3653
BUBBLE,62,1891,950,2841
BUBBLE,71,2485,1200,3685
BUBBLE,80,3160,1652,4812
BUBBLE,75,2775,1309,4084
BUBBLE,80,3160,1752,4912
BUBBLE,62,1891,810,2701
BUBBLE,75,2775,1406,4181
BUBBLE,71,2485,1155,3640
BUBBLE,64,2016,1109,3125
BUBBLE,73,2628,1160,3788
BUBBLE,75,2775,1560,4335
BUBBLE,64,2016,1091,3107
BUBBLE,61,1830,914,2744
BUBBLE,69,2346,1107,3453
BUBBLE,70,2415,1304,3719
BUBBLE,61,1830,896,2726
BUBBLE,81,3240,1517,4757
BUBBLE,97,4656,2366,7022
BUBBLE,87,3741,1775,5516
BUBBLE,98,4753,2595,7348
BUBBLE,89,3916,1870,5786
BUBBLE,95,4465,2271,6736
BUBBLE,100,4950,2592,7542
BUBBLE,88,3828,2198,6026
BUBBLE,93,4278,2198,6476
BUBBLE,88,3828,1773,5601
BUBBLE,96,4560,2505,7065
BUBBLE,99,4851,2214,7065
BUBBLE,90,4005,1909,5914
BUBBLE,89,3916,2005,5921
BUBBLE,96,4560,2114,6674
BUBBLE,82,3321,1545,4866
BUBBLE,96,4560,2309,6869
BUBBLE,96,4560,2335,6895
BUBBLE,95,4465,2198,6663
BUBBLE,84,3486,1771,5257
QUICK,82,1292,753,
QUICK,57,420,278,
QUICK,52,392,267,
QUICK,66,469,317,
QUICK,36,461,332,
QUICK,39,326,192,
QUICK,62,452,319,
QUICK,11,37,26,
QUICK,91,705,474,
QUICK,9,31,21,
QUICK,20,97,64,
QUICK,9,25,16,
QUICK,9,30,20,
QUICK,6,24,15,
QUICK,11,46,27,
QUICK,14,73,43,
QUICK,9,29,18,
QUICK,13,49,34,
QUICK,9,27,17,
QUICK,10,31,22,
QUICK,30,169,109,
QUICK,23,127,107,
QUICK,25,224,130,
QUICK,30,194,126,
QUICK,36,256,155,
QUICK,38,283,184,
QUICK,39,295,185,
QUICK,36,241,157,
QUICK,35,265,179,
QUICK,39,326,219,
QUICK,21,115,76,
QUICK,27,149,106,
QUICK,39,291,190,
QUICK,20,119,79,
QUICK,35,198,148,
QUICK,26,127,93,
QUICK,33,229,156,
QUICK,20,113,67,
QUICK,20,156,93,
QUICK,39,260,174,
QUICK,60,411,290,
QUICK,60,525,365,
QUICK,55,441,284,
QUICK,40,250,167,
QUICK,44,289,192,
QUICK,52,365,247,
QUICK,46,326,234,
QUICK,52,373,239,
QUICK,46,343,263,
QUICK,44,282,182,
QUICK,54,414,284,
QUICK,40,285,192,
QUICK,55,403,298,
QUICK,54,443,330,
QUICK,58,430,299,
QUICK,52,371,248,
QUICK,58,409,278,
QUICK,52,349,237,
QUICK,48,480,293,
QUICK,40,315,190,
QUICK,80,677,468,
QUICK,67,486,342,
QUICK,76,753,468,
QUICK,71,531,380,
QUICK,62,574,354,
QUICK,71,560,409,
QUICK,80,741,505,
QUICK,75,720,441,
QUICK,80,714,457,
QUICK,62,451,288,
QUICK,75,662,466,
QUICK,71,536,373,
QUICK,64,517,357,
QUICK,73,580,428,
QUICK,75,663,456,
QUICK,64,565,376,
QUICK,61,483,309,
QUICK,69,574,347,
QUICK,70,571,381,
QUICK,61,460,302,
QUICK,81,696,498,
QUICK,97,894,592,
QUICK,87,774,490,
QUICK,98,893,597,
QUICK,89,824,590,
QUICK,95,974,641,
QUICK,100,1037,724,
QUICK,88,964,628,
QUICK,93,892,576,
QUICK,88,905,565,
QUICK,96,982,628,
QUICK,99,950,641,
QUICK,90,898,574,
QUICK,89,802,528,
QUICK,96,911,589,
QUICK,82,708,528,
QUICK,96,834,591,
QUICK,96,824,543,
QUICK,95,742,510,
QUICK,84,793,498,
BUBBLE,193,18528,8833,27361
BUBBLE,145,10440,5310,15750
BUBBLE,33,528,228,756
BUBBLE,57,1596,733,2329
BUBBLE,199,19701,8491,28192
BUBBLE,130,8385,4475,12860
BUBBLE,148,10878,5862,16740
BUBBLE,71,2485,1209,3694
BUBBLE,24,276,131,407
BUBBLE,16,120,64,184
BUBBLE,60,1770,954,2724
BUBBLE,27,351,154,505
BUBBLE,132,8646,3992,12638
BUBBLE,173,14878,7714,22592
BUBBLE,80,3160,1490,4650
BUBBLE,86,3655,1737,5392
BUBBLE,198,19503,9380,28883
BUBBLE,133,8778,4681,13459
BUBBLE,126,7875,3386,11261
BUBBLE,198,19503,10091,29594
BUBBLE,39,741,357,1098
BUBBLE,139,9591,5248,14839
BUBBLE,163,13203,6576,19779
BUBBLE,69,2346,1244,3590
BUBBLE,199,19701,9825,29526
BUBBLE,128,8128,3971,12099
BUBBLE,25,300,177,477
BUBBLE,51,1275,593,1868
BUBBLE,125,7750,3587,11337
BUBBLE,97,4656,2202,6858
BUBBLE,150,11175,5620,16795
BUBBLE,166,13695,7041,20736
BUBBLE,169,14196,6999,21195
BUBBLE,54,1431,717,2148
BUBBLE,101,5050,2355,7405
BUBBLE,17,136,75,211
BUBBLE,174,15051,7491,22542
BUBBLE,45,990,477,1467
BUBBLE,146,10585,4787,15372
BUBBLE,16,120,66,186
BUBBLE,11,55,20,75
BUBBLE,11,55,31,86
BUBBLE,61,1830,952,2782
BUBBLE,190,17955,8772,26727
BUBBLE,59,1711,836,2547
BUBBLE,96,4560,2357,6917
BUBBLE,41,820,415,1235
BUBBLE,115,6555,3327,9882
BUBBLE,87,3741,1897,5638
BUBBLE,23,253,120,373
BUBBLE,171,14535,7666,22201
BUBBLE,116,6670,3072,9742
BUBBLE,129,8256,3983,12239
BUBBLE,148,10878,5201,16079
BUBBLE,166,13695,6957,20652
BUBBLE,6,15,11,26
BUBBLE,57,1596,781,2377
BUBBLE,161,12880,6167,19047
BUBBLE,13,78,55,133
BUBBLE,150,11175,5398,16573
BUBBLE,39,741,312,1053
BUBBLE,185,17020,8661,25681
BUBBLE,88,3828,1784,5612
BUBBLE,113,6328,2965,9293
BUBBLE,91,4095,2040,6135
BUBBLE,130,8385,4013,12398
BUBBLE,162,13041,6190,19231
BUBBLE,197,19306,10217,29523
BUBBLE,110,5995,3057,9052
BUBBLE,192,18336,9634,27970
BUBBLE,168,14028,7176,21204
BUBBLE,70,2415,1181,3596
BUBBLE,32,496,248,744
BUBBLE,140,9730,4984,14714
BUBBLE,18,153,70,223
BUBBLE,52,1326,610,1936
BUBBLE,68,2278,1230,3508
BUBBLE,107,5671,2527,8198
BUBBLE,52,1326,714,2040
BUBBLE,81,3240,1898,5138
BUBBLE,171,14535,7010,21545
BUBBLE,100,4950,2497,7447
BUBBLE,139,9591,4552,14143
BUBBLE,80,3160,1428,4588
BUBBLE,126,7875,3564,11439
BUBBLE,177,15576,7754,23330
BUBBLE,147,10731,5384,16115
BUBBLE,91,4095,2016,6111
BUBBLE,160,12720,6752,19472
BUBBLE,143,10153,4793,14946
BUBBLE,173,14878,7568,22446
BUBBLE,57,1596,708,2304
BUBBLE,90,4005,1910,5915
BUBBLE,26,325,184,509
BUBBLE,69,2346,1200,3546
BUBBLE,9,36,23,59
BUBBLE,44,946,531,1477
BUBBLE,120,7140,3881,11021
BUBBLE,57,1596,891,2487
BUBBLE,65,2080,941,3021
QUICK,193,1401,1401,
QUICK,145,964,964,
QUICK,33,123,123,
QUICK,57,290,290,
QUICK,199,1741,1741,
QUICK,130,888,888,
QUICK,148,1204,1204,
QUICK,71,400,400,
QUICK,24,105,105,
QUICK,16,53,53,
QUICK,60,341,341,
QUICK,27,106,106,
QUICK,132,1238,1238,
QUICK,173,1370,1370,
QUICK,80,524,524,
QUICK,86,503,503,
QUICK,198,1732,1732,
QUICK,133,950,950,
QUICK,126,875,875,
QUICK,198,1640,1640,
QUICK,39,226,226,
QUICK,139,1443,1443,
QUICK,163,1074,1074,
QUICK,69,403,403,
QUICK,199,1533,1533,
QUICK,128,943,943,
QUICK,25,108,108,
QUICK,51,251,251,
QUICK,125,986,986,
QUICK,97,581,581,
QUICK,150,1011,1011,
QUICK,166,1114,1114,
QUICK,169,1269,1269,
QUICK,54,280,280,
QUICK,101,691,691,
QUICK,17,46,46,
QUICK,174,1314,1314,
QUICK,45,197,197,
QUICK,146,1138,1138,
QUICK,16,50,50,
QUICK,11,25,25,
QUICK,11,32,32,
QUICK,61,356,356,
QUICK,190,1318,1318,
QUICK,59,313,313,
QUICK,96,642,642,
QUICK,41,197,197,
QUICK,115,790,790,
QUICK,87,549,549,
QUICK,23,112,112,
QUICK,171,1395,1395,
QUICK,116,821,821,
QUICK,129,840,840,
QUICK,148,928,928,
QUICK,166,1366,1366,
QUICK,6,10,10,
QUICK,57,344,344,
QUICK,161,1113,1113,
QUICK,13,42,42,
QUICK,150,993,993,
QUICK,39,230,230,
QUICK,185,1446,1446,
QUICK,88,533,533,
QUICK,113,975,975,
QUICK,91,554,554,
QUICK,130,784,784,
QUICK,162,1211,1211,
QUICK,197,1371,1371,
QUICK,110,757,757,
QUICK,192,1430,1430,
QUICK,168,1274,1274,
QUICK,70,386,386,
QUICK,32,137,137,
QUICK,140,1024,1024,
QUICK,18,55,55,
QUICK,52,245,245,
QUICK,68,500,500,
QUICK,107,730,730,
QUICK,52,261,261,
QUICK,81,579,579,
QUICK,171,1274,1274,
QUICK,100,806,806,
QUICK,139,952,952,
QUICK,80,497,497,
QUICK,126,860,860,
QUICK,177,1297,1297,
QUICK,147,1355,1355,
QUICK,91,571,571,
QUICK,160,1077,1077,
QUICK,143,1099,1099,
QUICK,173,1149,1149,
QUICK,57,287,287,
QUICK,90,607,607,
QUICK,26,111,111,
QUICK,69,370,370,
QUICK,9,24,24,
QUICK,44,198,198,
QUICK,120,823,823,
QUICK,57,313,313,
QUICK,65,387,387,
BUBBLE,18,138,57,195
BUBBLE,37,632,283,915
BUBBLE,89,3830,1944,5774
BUBBLE,51,1227,610,1837
BUBBLE,92,4097,2202,6299
BUBBLE,11,47,20,67
BUBBLE,63,1893,915,2808
BUBBLE,33,498,203,701
BUBBLE,24,255,162,417
BUBBLE,34,530,298,828
BUBBLE,97,4562,2307,6869
BUBBLE,38,668,290,958
BUBBLE,98,4658,2200,6858
BUBBLE,73,2558,1056,3614
BUBBLE,55,1433,609,2042
BUBBLE,37,632,356,988
BUBBLE,31,437,210,647
BUBBLE,43,863,385,1248
BUBBLE,70,2348,1170,3518
BUBBLE,67,2147,1039,3186
BUBBLE,8,23,7,30
BUBBLE,7,17,11,28
BUBBLE,87,3657,1915,5572
BUBBLE,44,905,419,1324
BUBBLE,94,4280,2185,6465
BUBBLE,17,122,52,174
BUBBLE,70,2348,1227,3575
BUBBLE,99,4755,2424,7179
BUBBLE,6,12,3,15
BUBBLE,60,1713,906,2619
BUBBLE,92,4097,2024,6121
BUBBLE,19,155,64,219
BUBBLE,58,1598,738,2336
BUBBLE,62,1832,876,2708
BUBBLE,47,1037,528,1565
BUBBLE,47,1037,468,1505
BUBBLE,89,3830,1879,5709
BUBBLE,90,3918,1913,5831
BUBBLE,99,4755,2272,7027
BUBBLE,85,3488,1714,5202
BUBBLE,41,782,364,1146
BUBBLE,13,68,39,107
BUBBLE,64,1955,933,2888
BUBBLE,80,3083,1620,4703
BUBBLE,33,498,218,716
BUBBLE,82,3242,1398,4640
BUBBLE,39,705,413,1118
BUBBLE,36,597,277,874
BUBBLE,76,2777,1355,4132
BUBBLE,45,948,550,1498
BUBBLE,97,4562,2224,6786
BUBBLE,70,2348,1335,3683
BUBBLE,56,1487,683,2170
BUBBLE,98,4658,2502,7160
BUBBLE,82,3242,1690,4932
BUBBLE,71,2417,1410,3827
BUBBLE,55,1433,643,2076
BUBBLE,68,2213,1190,3403
BUBBLE,65,2018,963,2981
BUBBLE,33,498,233,731
BUBBLE,89,3830,1782,5612
BUBBLE,92,4097,1965,6062
BUBBLE,93,4188,2048,6236
BUBBLE,87,3657,1739,5396
BUBBLE,24,255,153,408
BUBBLE,35,563,249,812
BUBBLE,56,1487,707,2194
BUBBLE,43,863,367,1230
BUBBLE,47,1037,512,1549
BUBBLE,79,3005,1715,4720
BUBBLE,64,1955,931,2886
BUBBLE,72,2487,1207,3694
BUBBLE,90,3918,2083,6001
BUBBLE,78,2928,1486,4414
BUBBLE,62,1832,936,2768
BUBBLE,88,3743,2049,5792
BUBBLE,37,632,262,894
BUBBLE,80,3083,1733,4816
BUBBLE,84,3405,1702,5107
BUBBLE,71,2417,1228,3645
BUBBLE,98,4658,2452,7110
BUBBLE,95,4373,2215,6588
BUBBLE,6,12,5,17
BUBBLE,65,2018,942,2960
BUBBLE,62,1832,901,2733
BUBBLE,78,2928,1551,4479
BUBBLE,98,4658,2674,7332
BUBBLE,6,12,7,19
BUBBLE,37,632,282,914
BUBBLE,28,353,166,519
BUBBLE,35,563,262,825
BUBBLE,53,1328,703,2031
BUBBLE,7,17,9,26
BUBBLE,80,3083,1705,4788
BUBBLE,84,3405,1647,5052
BUBBLE,90,3918,2257,6175
BUBBLE,76,2777,1357,4134
BUBBLE,92,4097,2061,6158
BUBBLE,72,2487,1232,3719
BUBBLE,39,705,330,1035
QUICK,18,55,55,
QUICK,37,157,157,
QUICK,89,497,497,
QUICK,51,281,281,
QUICK,92,565,565,
QUICK,11,25,25,
QUICK,63,325,325,
QUICK,33,119,119,
QUICK,24,100,100,
QUICK,34,154,154,
QUICK,97,684,684,
QUICK,38,197,197,
QUICK,98,627,627,
QUICK,73,531,531,
QUICK,55,345,345,
QUICK,37,158,158,
QUICK,31,191,191,
QUICK,43,183,183,
QUICK,70,390,390,
QUICK,67,355,355,
QUICK,8,16,16,
QUICK,7,16,16,
QUICK,87,690,690,
QUICK,44,188,188,
QUICK,94,685,685,
QUICK,17,64,64,
QUICK,70,425,425,
QUICK,99,654,654,
QUICK,6,11,11,
QUICK,60,296,296,
QUICK,92,529,529,
QUICK,19,59,59,
QUICK,58,351,351,
QUICK,62,286,286,
QUICK,47,277,277,
QUICK,47,236,236,
QUICK,89,504,504,
